ExecutionId,CycleName,FolderName,Issue Key,Test Summary,Project,Component,Version,Priority,Executed By,Executed On,ExecutionStatus,ExecutionDefects,CreationDate,Assigned To,Custom Fields,Work Flow Status,Total Execution Time,Total Logged Time,StepId,OrderId,Step,Test Data,Expected Result,Step Result,Comments,Step Custom Fields
65c0346c-cdc4-4926-baf4-4526aa174955,GUI TESTING,,OP-3,Verificare logare cu un user demo si o parola demo valide,Opencart Project,,Test Logare 1,Medium,IoanaGornateanu,8/21/2023 14:39,PASS,,8/21/2023 14:37,,,,,,9c9ee0d0-0682-4440-b5ec-4860ca25922d,1,Folosind un cont demo logheaza-te in aplicatie,user: demo,user-ul s-a conectat cu succes la login,PASS,,
d66830d2-72c4-4cda-a4a3-855be9449c4f,GUI TESTING,,OP-2,Campul filtru este prezent in pagina de Products,Opencart Project,,Test Logare 1,Medium,IoanaGornateanu,8/21/2023 14:45,PASS,,8/21/2023 14:44,,,,,,bd298c0c-4d61-4f86-a02f-1032b92665da,1,Selectam meniul Products de pe site-ul Opencart,products,iconita de product name este necompletata,PASS,,
d66830d2-72c4-4cda-a4a3-855be9449c4f,GUI TESTING,,OP-2,Campul filtru este prezent in pagina de Products,Opencart Project,,Test Logare 1,Medium,IoanaGornateanu,8/21/2023 14:45,PASS,,8/21/2023 14:44,,,,,,1f686743-f9d7-4e00-83f1-b2861f4db74e,2,Facem click in casuta Product name,iMac,In lista de produse au aparut doar din gama iMac,PASS,,
d66830d2-72c4-4cda-a4a3-855be9449c4f,GUI TESTING,,OP-2,Campul filtru este prezent in pagina de Products,Opencart Project,,Test Logare 1,Medium,IoanaGornateanu,8/21/2023 14:45,PASS,,8/21/2023 14:44,,,,,,c04e64c1-79b0-4650-997f-d5d165d1a69c,3,"Selectia pentru filtru ""iMac"" este folosita",,Campul de produse este vizibil,PASS,,
b8a315e6-091d-424c-a6b8-fb7369a56783,GUI TESTING,,OP-4,Modificare nume produs,Opencart Project,,Test Logare 1,Medium,IoanaGornateanu,8/21/2023 23:05,FAIL,OP-5 | OP-5,8/21/2023 21:34,,,,,,a1ddf2ee-1642-492d-bc34-f7c0bd385262,1,Facem click pe meniul Catalog,,Submeniu vizibil,PASS,,
b8a315e6-091d-424c-a6b8-fb7369a56783,GUI TESTING,,OP-4,Modificare nume produs,Opencart Project,,Test Logare 1,Medium,IoanaGornateanu,8/21/2023 23:05,FAIL,OP-5 | OP-5,8/21/2023 21:34,,,,,,e8f77bfb-2e92-4284-8bb8-0ceb878f0777,2,Facem click pe submeniul Products,,Lista produse este vizibila,PASS,,
b8a315e6-091d-424c-a6b8-fb7369a56783,GUI TESTING,,OP-4,Modificare nume produs,Opencart Project,,Test Logare 1,Medium,IoanaGornateanu,8/21/2023 23:05,FAIL,OP-5 | OP-5,8/21/2023 21:34,,,,,,f662f4c5-1019-43c0-98a1-c72b5f26ac52,3,Facem click pe butonul edit pentru produsul HP LP3065,,Edit Product,PASS,,
b8a315e6-091d-424c-a6b8-fb7369a56783,GUI TESTING,,OP-4,Modificare nume produs,Opencart Project,,Test Logare 1,Medium,IoanaGornateanu,8/21/2023 23:05,FAIL,OP-5 | OP-5,8/21/2023 21:34,,,,,,a4b49e4e-cfc5-448a-998e-9cfb6fc3fe08,4,Pentru Product name in text area redenumim produsul,HP LP3065 Editie noua,,PASS,,
b8a315e6-091d-424c-a6b8-fb7369a56783,GUI TESTING,,OP-4,Modificare nume produs,Opencart Project,,Test Logare 1,Medium,IoanaGornateanu,8/21/2023 23:05,FAIL,OP-5 | OP-5,8/21/2023 21:34,,,,,,61058525-0171-4516-aaa5-ee062bdcabd1,5,Facem click pe butonul Save,,Do not have permission to modify products!,FAIL,,
